ID_Ra_500prod,Navn,DSK Kategori,Name,DSK Category,Unit,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Total kg CO2-eq/kg,Energi (KJ/100 g),Fedt (g/100 g),Kulhydrat (g/100 g),Protein (g/100 g),Data sources,Comments,"GPC brick no, level 4",ID_food,ID_pack,ID_retail,GPC Category,GPC Kategori,"GPC brick no, level 4",,"GPC brick no, level 1",,"GPC brick no, level 2",,"GPC brick no, level 3",,Ekstra kategorier
Ra00011,"Oksekød, mørbrad, afpudset, rå",Kød/fjerkræ,"Beef, fillet, defatted, raw",Meat/poultry,kg,133.45,25.85,-8.11,0.14,0.63,0.00,151.95,576,6.4,0,20,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0035,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00012,"Oksekød, hakket, 10-15% fedt, rå",Kød/fjerkræ,"Beef, mince, 10-15% fat, raw",Meat/poultry,kg,28.58,5.46,-1.78,0.14,0.12,0.00,32.51,687,9.7,0,19.4,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.,It has been assumed that the food processing industry is located in Denmark. Mass balance for a minced beef with 15% fat. Standard minced beef from beef trimmings is assumed to have 30% fat. Excess fat modelled as a by-product. No manufacturing data included (neglected). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10005786,Fa0037,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00013,"Oksekød, culotte, rå",Kød/fjerkræ,"Beef, rump, raw",Meat/poultry,kg,39.65,7.68,-2.41,0.14,0.63,0.00,45.69,879,14.9,0,19.3,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0034,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00014,"Oksekød, hakket, 15-20% fedt, rå",Kød/fjerkræ,"Beef, mince, 15-20% fat, raw",Meat/poultry,kg,26.90,5.16,-1.47,0.14,0.12,0.00,30.84,903,16.2,0,17.8,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.,It has been assumed that the food processing industry is located in Denmark. Mass balance for a minced beef with 20% fat. Standard minced beef from beef trimmings is assumed to have 30% fat. Excess fat modelled as a by-product. No manufacturing data included (neglected). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10005786,Fa0038,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00015,"Oksekød, tyndsteg med mørbrad, rå",Kød/fjerkræ,"Beef, T-bone steak, raw",Meat/poultry,kg,70.72,13.70,-4.30,0.14,0.63,0.00,80.89,878,14.4,0,20.3,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0036,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00016,"Oksekød, hakket, 5-10% fedt, rå",Kød/fjerkræ,"Beef, mince, 5-10% fat, raw",Meat/poultry,kg,30.26,5.75,-2.09,0.14,0.12,0.00,34.19,683,9.5,0,19.5,Data on inputs and outputs of the food processing industry is modelled using: No specific sources for this product. See comments field.,It has been assumed that the food processing industry is located in Denmark. Mass balance for a minced beef with 10% fat. Standard minced beef from beef trimmings is assumed to have 30% fat. Excess fat modelled as a by-product. No manufacturing data included (neglected). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10005786,Fa0039,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
Ra00017,"Øl, pilsner, 4.4 % vol.",Drikkevarer,"Beer, lager, alc. 4.4 % by vol.",Beverages,kg,0.07,0.05,0.24,0.16,0.07,0.01,0.60,152,0,2.7,0.3,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016).",It has been assumed that the food processing industry is located in Denmark. Data obtained as arithmetic averages from 6 studies. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000159,Fa0013,Pa005,Ma0332,Beverages,Drikkevarer,10000159,Beer,50000000,Food/Beverage/Tobacco,50200000,Beverages,50202200,Alcoholic Beverages (Includes De-Alcoholised Variants),
Ra00018,"Øl, hvidtøl, letøl",Drikkevarer,"Beer, Danish household, low alcohol",Beverages,kg,0.07,0.05,0.24,0.16,0.07,0.01,0.60,189,0,8.6,0.3,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016).",It has been assumed that the food processing industry is located in Denmark. Data obtained as arithmetic averages from 6 studies. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000159,Fa0013,Pa005,Ma0332,Beverages,Drikkevarer,10000159,Beer,50000000,Food/Beverage/Tobacco,50200000,Beverages,50202200,Alcoholic Beverages (Includes De-Alcoholised Variants),
Ra00019,"Øl, stærk, 7,6 % vol.",Drikkevarer,"Beer, strong, alc. 7.6 % by vol.",Beverages,kg,0.07,0.05,0.24,0.16,0.07,0.01,0.60,260,0,4.6,0.4,"Data on inputs and outputs of the food processing industry is modelled using: The Climate conservancy (2008), Cordella and Santarelli (2008), Koroneos et al. (2005), Novozymes (2009), Hospido et al. (2005), Amienyo and Azapagic (2016).",It has been assumed that the food processing industry is located in Denmark. Data obtained as arithmetic averages from 6 studies. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000159,Fa0013,Pa005,Ma0332,Beverages,Drikkevarer,10000159,Beer,50000000,Food/Beverage/Tobacco,50200000,Beverages,50202200,Alcoholic Beverages (Includes De-Alcoholised Variants),
Ra00020,"Kiks, Marie",Brød/bageartikler,"Biscuit, sweet",Bread/bakery products,kg,0.59,0.12,1.22,0.67,0.14,0.01,2.75,1834,10.6,72.5,7.7,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Approximated as gluten-free biscuits according to Noya et al. (2018), where we replace oat, maize and rice flour inputs by wheat flour. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0073,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00021,"Kiks, fuldkorns-, digestivetype",Brød/bageartikler,"Biscuit, wholemeal, digestive type",Bread/bakery products,kg,0.54,0.14,1.23,0.67,0.14,0.01,2.73,1931,16.5,66.5,7.1,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Approximated as gluten-free biscuits according to Noya et al. (2018), where we replace oat, maize and rice flour inputs by whole wheat flour. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0074,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00022,"Småkage, hvede, traditionelle danske, industrifremstillet",Brød/bageartikler,"Butter cookie, wheat, Danish, industrially produced",Bread/bakery products,kg,0.63,0.14,1.42,0.67,0.11,0.01,2.98,2174,27.1,61.7,5.4,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020t); Tasty (2020a); Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Recipe is an estimate from the nutritional composition and declared butter content in Open Food Facts (2020t). The coconut content assumes 5% according to the weight of this ingredient in Tasty (2020a).  A food loss during production of 2% is assumed, and the input of ingredients is adjusted accordingly. All other inputs are assumed as in biscuits (Noya et al. 2018). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0158,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00023,"Småkage, cookie (amerikansk type), industrifremstillet",Brød/bageartikler,American inspired cookie,Bread/bakery products,kg,0.54,0.14,1.23,0.67,0.14,0.01,2.73,2139,26.5,58.4,5.9,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018).,"It has been assumed that the food processing industry is located in Denmark. Approximated as gluten-free biscuits according to Noya et al. (2018), where we replace oat, maize and rice flour inputs by whole wheat flour. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0074,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00024,Müslibar,Brød/bageartikler,Granola bar,Bread/bakery products,kg,1.20,0.43,0.45,0.67,0.13,0.01,2.88,1830,15,57.8,6.7,Data on inputs and outputs of the food processing industry is modelled using: Noya et al. (2018); Inspired taste (2019).,"It has been assumed that the food processing industry is located in Denmark. Recipe obtained from a home-cooking recipe ( Inspired taste 2019), no ingredient losses accounted for. Energy use is assumed as in biscuits production in Noya et al. (2018), but we only consider electricity. Heat is excluded, as granola bars are not baked. No water use considered. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0210,Pa024,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00025,Vaffelrør,Brød/bageartikler,Wafer sticks,Bread/bakery products,kg,1.38,0.11,0.21,0.22,0.16,0.01,2.10,2133,25.7,63,4.6,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020e); ADEME (2020h); Konstantas et al. (2019); DTU (2019).,"It has been assumed that the food processing industry is located in Denmark. The ingredients chocolate and nuts are obtained from Nemlig (2020e) for a commercial product from 'Royal' brand. Roasted nuts are modelled as roasted cashew nuts. Other ingredients from Agribalyse for crèpe production (ADEME 2020h). A mass balance is carrried out assuming that the final product will have 97% dry mass acording to the FRIDA database (DTU 2019), which is much higher than in ingredients. It is estimated that per kg final product, 1.9 kg ingredients are needed and 0.9 kg water are evaporated. Manufacturing energy assumed as average for cakes from Konstantas et al. (2018). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000161,Fa0211,Pa043,Ma0332,Bread/bakery products,Brød/bageartikler,10000161,Biscuits/Cookies (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00026,Rasp,Brød/bageartikler,Bread-crumbs,Bread/bakery products,kg,0.58,0.07,0.42,0.04,0.14,0.01,1.26,1488,1.5,69.8,11.6,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014).","It has been assumed that the food processing industry is located in Denmark. Assumed as rye crispbread, only replacing rye bread input by wheat bread. Rye crispbread is toasted bread (baking fresh bread for a second time to obtain toasted bread). The input is fresh bread, calculated based on the moisture loss from fresh to toasted according to two products in Open Food Facts (2020a, 2020b). Manufacturing data assumed same as fresh bread from Jensen and Arlbjørn (2014). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000166,Fa0005,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000166,Dried Breads (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00027,"Knækbrød, rug-, groft",Brød/bageartikler,"Crispbread, knackebrot, rye, coarse",Bread/bakery products,kg,0.41,0.05,0.42,0.04,0.14,0.01,1.08,1449,2,61,10.2,"Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020a); Open Food Facts (2020b); Jensen JK, Arlbjørn JS (2014).","It has been assumed that the food processing industry is located in Denmark. Toasted bread (baking fresh bread for a second time to obtain toasted bread). The input is fresh bread, calculated based on the moisture loss from fresh to toasted according to two products in Open Food Facts (2020a, 2020b). Manufacturing data assumed same as fresh bread from Jensen and Arlbjørn (2014). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000166,Fa0003,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000166,Dried Breads (Shelf Stable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50182100,Biscuits/Cookies,
Ra00028,"Hvedebrød, toastbrød, fint, industrifremstillet",Brød/bageartikler,"Wheat bread, for toasting, industrially produced",Bread/bakery products,kg,0.38,0.04,0.16,0.04,0.10,0.01,0.74,1077,2.8,47,8.7,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).,It has been assumed that the food processing industry is located in Denmark. Data from Espinoza-Orias et al. (2011). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000164,Fa0001,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000164,Bread (Perishable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50181900,Bread,
Ra00029,Pølsebrød,Brød/bageartikler,"Bread, white, for sausages",Bread/bakery products,kg,0.38,0.04,0.16,0.04,0.10,0.01,0.74,1065,3.8,43.1,9.5,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).,It has been assumed that the food processing industry is located in Denmark. Data from Espinoza-Orias et al. (2011). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000164,Fa0001,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000164,Bread (Perishable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50181900,Bread,
Ra00030,Grovbolle,Brød/bageartikler,"Bread, white, roll, coarse grain",Bread/bakery products,kg,0.38,0.04,0.16,0.04,0.10,0.01,0.74,1207,4,49.4,10.5,Data on inputs and outputs of the food processing industry is modelled using: Espinoza-Orias et al. (2011).,It has been assumed that the food processing industry is located in Denmark. Data from Espinoza-Orias et al. (2011). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.,10000164,Fa0001,Pa001,Ma0332,Bread/bakery products,Brød/bageartikler,10000164,Bread (Perishable),50000000,Food/Beverage/Tobacco,50180000,Bread/Bakery Products,50181900,Bread,
